t,value
1540236956,43229840
1540236959,53327928
1540236962,54601120
t,value
1540236983,34380568
1540236986,34390864
1540236989,50800896
1540236992,50820872
1540236995,50823408
1540236998,50827960
1540237001,50828504
1540237004,50835512
