t,value
1540236956,6706944
1540236959,8177024
1540236962,8646400
t,value
1540236983,5863808
1540236986,5891840
1540236989,7472384
1540236992,7526272
1540236995,7553792
1540236998,7563264
1540237001,7579008
1540237004,7604864
