t,value
1540236956,1276544
1540236959,1316608
1540236962,1316608
t,value
1540236983,1273600
1540236986,1273600
1540236989,1302144
1540236992,1302144
1540236995,1302144
1540236998,1302144
1540237001,1302144
1540237004,1302144
