t,value
1540236956,11534336
1540236959,11534336
1540236962,11534336
t,value
1540236983,8388608
1540236986,8388608
1540236989,12582912
1540236992,12582912
1540236995,12582912
1540236998,12582912
1540237001,12582912
1540237004,12582912
