t,value
1540236956,23175728
1540236959,41001520
1540236962,41001520
t,value
1540236983,19713536
1540236986,19713536
1540236989,22505424
1540236992,22505424
1540236995,22505424
1540236998,22505424
1540237001,22505424
1540237004,22505424
