t,value
1540236956,2322048
1540236959,3008000
1540236962,3166848
t,value
1540236983,1532800
1540236986,1549696
1540236989,2425856
1540236992,2442112
1540236995,2449408
1540236998,2460544
1540237001,2468736
1540237004,2471424
