t,value
1540236956,6135808
1540236959,7684448
1540236962,7889584
t,value
1540236983,4488968
1540236986,4488968
1540236989,7203648
1540236992,7204240
1540236995,7204240
1540236998,7204240
1540237001,7204240
1540237004,7204240
