t,value
1540236956,29360128
1540236959,103809024
1540236962,119537664
t,value
1540236983,3145728
1540236986,4194304
1540236989,78643200
1540236992,79691776
1540236995,79691776
1540236998,80740352
1540237001,80740352
1540237004,80740352
