t,value
1540236956,2.822394416790681E-5
1540236959,3.977010314568687E-5
1540236962,3.977010314568687E-5
t,value
1540236983,1.0391543080002053E-4
1540236986,1.0391543080002053E-4
1540236989,1.0648124390619388E-4
1540236992,1.0648124390619388E-4
1540236995,1.0648124390619388E-4
1540236998,1.0648124390619388E-4
1540237001,1.0648124390619388E-4
1540237004,1.0648124390619388E-4
